,번호,본문,요약문,중요단어,추출단어
1028,1037,"보덕사는 서원산 남쪽기슭에 위치한다. 본래 옥양봉 남쪽 기슭에 있던 가야사의 뒤를 이어 고종 8년(1871)에 처음 지어졌다. 가야사에는 금탑이라 불리는 지극히 빼어난 석탑이 있었고, 그 탑의 4면에는 돌로 만든 방이 있어 각각 돌부처가 모셔져 있었다. 그러나 이 절의 터가 왕손을 낳게 한다는 풍수설에 따라 흥선대원군이 철종 11년(1860)에 가야사를 불사르고 아버지인 남원군의 묘를 썼다. 그 뒤 아들 고종(재위 1863∼1907)이 왕위에 오르게 되었으므로 은혜를 갚는다는 뜻에서 지금의 위치에 절을 짓고 보덕사라고 하였다. 보덕사는 아미타불을 모시는 극락전을 중심으로 왼쪽에 2층으로 된 서별당, 정면에 주지실, 오른쪽에 동별당이 있고, 연못이 있다. 전체적으로 튼 ㅁ자형이다. 극락전은 앞면 3칸·옆면 2칸의 규모로 지붕은 옆모습이 사람 인(人)자 모양인 맞배지붕이다. 극락전 앞에는 충청남도 문화재자료 제183호로 지정된 석등이 있고 옆으로 관음전이 있다.",가야사의 터가 왕손을 낳게 한다는 풍수설때문에 흥선대원군이 이 절을 불사르고 아버지 묘를 썼고 그 후 아들 고종이 왕이 되자 은혜를 갚는다는 뜻에서 보덕사를 지었다.,"보덕사,풍수설,아미타불,흥선대원군,고종,돌부처,석탑","보덕사,원산,남쪽,기슭,위치,본래,옥,양봉,남쪽,기슭,가야,사의,뒤,고종,처음,야사,금탑,석탑,그,탑,면,돌,방이,각각,돌부처,이,절의,터,왕손,풍수설,흥선대원군,철종,가야,불,사르,아버지,남원군,묘,그,뒤,아들,고종,재위,이,왕위,은혜,뜻,지금,위치,절,보덕사,보덕사,아미타불,극락전,중심,왼쪽,층,별당,정면,오른쪽,별당,연못,전체,자형,극락전,앞,칸,옆면,칸,규모,지붕,옆모습,사람,인,자,모양,배,지붕,극락전,앞,충청남도,문화재,자료,제,호로,지정,석등,옆,관음,전이"
1029,1038,"조선 후기 성리학자인 박문호의 위패를 모신 사당인데 원래 이곳은 그가 성리학을 공부하고 책을 쓰며 후진양성을 하던 곳이었다. 고종 9년(1872)에 지은 것으로 앞면 6칸·옆면 2칸 규모이며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양의 팔작지붕이다. 건물에 ‘풍림정사’라고 쓴 글씨는 송근수가 쓴 것이며 이곳에는 박문호의 문집인 『호산집』의 판본과 목활자 일부가 남아 있다. 풍림정사 뒤쪽에는 후성영당이 있는데 박문호·이이·송시열 등의 초상화를 모시고 있다. 후성영당은 1906년 세운 건물이며 박문호의 초상화는 1921년 추가로 모신 것이다.",풍림정사는 성리학자 박문호의 위패를 모신 사당인데 본래는 책을 쓰며 후진양성을 하던 곳으로 호산집의 판본과 목활자 일부가 남아있다.,"박문,성리학,조선,성리학자,송근수,고종,후성","조선,후기,성리학자,박문,호의,위패,사당,원래,곳,그,성리학,공부,책,후진,양성,곳,고종,지은,것,앞,칸,옆면,칸,규모,지붕,옆면,볼,때,여덟,팔,자,모양,지붕,건물,림,정사,글씨,송근수,것,곳,박문,호의,문집,호산집,의,판본,목,활자,일부,남아,림,정사,뒤쪽,후성,당,박,문호,이이,송시열,등,초상화,모시,후성,당,세운,건물,박문,호의,초상화,추가,것"
1030,1039,"봉선에는 1791년 하진태의 어머님이 병이 위독해지자 하진태를 비롯한 가족들이 간병하는 상황을 10월 16일에서 11월 16일까지 기록하고 있는데 ""조모주병록일기(祖母主病錄日記)""라하여 하진태(河秦兌)의 아들 익범(益範)이 기록한 것이다. 이러한 효행 뒤에 효행추천 수본(手本) 서목(書目) 상서문(上書文)은 전부 30점으로 그 효행을 표창해 줄 것을 요로에 요청하는 인근 사림들의 움직임을 살펴볼 수 있는 자료이다. 시기상으로는 1791년에서 19세기 후반에 걸쳐 작성되었다. 특히 봉선(奉先)에 실린 병록일기와 같이 실제 간병효행의 상황을 일기식으로 상세하게 기록하여 당시 선비가의 생활상과 간병에 대한 내용을 알 수 있는 귀중한 자료이다.",1791년 10월 16일에서 11월 16일까지 일기식으로 상세히 기록된 조모주병록일기는 위독해진 하진태의 어머님을 그의 가족들이 간병했던 상황을 하진태의 아들이 기록한 것이다.,"익범,간병,병록,주병,봉선,진태","봉선,하진,태의,어머님,병,진태,비롯,가족,간병,상황,기록,주병,록,일기,하진,태,의,아들,익범,이,기록,것,효행,뒤,효행,추천,목,상,서문,은,전부,점,그,효행,표창,줄,것,요로,요청,인근,사림,움직임,수,자료,시기,세기,후반,작성,봉선,병록,일기,실제,간병,효행,상황,일기,상세,기록,당시,선비,가의,생활,상과,간병,대한,내용,알,수,자료"
1031,1040,"조선 선조 25년(1592) 임진왜란이 일어났을 때, 부산진성을 지키며 군민과 함께 왜적과 장렬히 싸우다 성과 운명을 같이한 부산첨사 정발과 그를 따라 순절한 군민들의 충절을 기리고 있는 제단이다. 단의 중앙에는 ‘정공단’이라 새긴 비를 세우고, 서쪽에는 정발의 막료였던 이정헌, 동쪽에는 정발의 첩인 열녀 애향, 남쪽에는 군민들을 모셨으며, 남쪽 층계 밑에는 충직한 노복이었던 용월의 단을 마련해 두었다. 조선 영조 42년(1766) 당시 부산첨사로 있던 이광국이 단을 설치하여, 성이 함락되었던 음력 4월 14일에 제사를 지내도록 하였다. 일제시대에 와서는 민족혼을 일깨운다 하여 제단을 폐쇄하고 유물과 비품을 모두 몰수하였으나, 광복 후 새로이 단을 쌓고, 옛 비석을 되찾아 세운 후 다시 제사를 지내고 있다.",임진왜란 당시 왜적과 싸우다 순절한 부산 첨사 정발과 군민들의 충절을 기리는 제단은 일제강점기 때 폐쇄되었지만 광복 후 다시 단을 쌓고 제사를 지내게 되었다.,"일제시대,조선,영조,임진왜란,광복","조선,선조,임진왜란,때,부산진,군민,왜적,장렬,성과,운명,부산,사,정발,그,순절,군민,충절,기리,제단,단,중앙,정,공단,비,서쪽,정발,막료,이정헌,동쪽,정발,첩,열녀,애향,남쪽,군민,남쪽,층계,밑,충직,노복,용월,단,마련,조선,영조,당시,부산,사,이광,국,단,설치,성,함락,음력,제사,일제시대,민족,혼,일,제단,폐쇄,유물,비품,모두,몰수,광복,후,새로이,단,비석,세운,후,다시,제사"
1032,1041,"탱화란 천이나 종이에 그림을 그려 족자나 액자 형태로 만들어서 거는 그림을 이른다. 이 탱화는 조선 영조 40년(1764) 사룡산 금정암에 봉안되었던 것으로, 현재는 표충사에 보존되어 있다. 그림 전체의 크기가 가로 65㎝, 세로 70㎝이고, 화폭의 크기는 가로 54㎝, 세로 55㎝ 인 작은 규모의 특이한 탱화로, 석가가 아닌 제석이 그 중심에 자리하고 있다. 제석은 의자에 앉아 있는 모습인데, 손으로는 이제 막 피어오르는 연꽃을 두 손으로 받쳐들고 있다. 앞쪽으로 일월관을 쓴 일궁천자와 월궁천자가 서 있고, 그 양옆으로는 높은 관을 쓴 천인이 시선을 바깥으로 둔 채 서 있다. 천인의 뒤에는 악기를 연주하는 동자, 동녀의 모습이 보이는데, 피리와 비파 등을 들고 있다. 비단 바탕 위에 채색하여 그린 것으로, 위아래에 나무로 된 축을 두고 윗부분에 고리를 단 전통적 양식으로 되어 있다.",표충사에 보존되어 있는 이 탱화는 석가가 아닌 제석이 그 중심에 자리하고 있다.,"천인,표충사,비파,조선,월궁,영조,금정","탱화,란,천이,종이,그림,족자,액자,형태,거,그림,이,탱화,조선,영조,사룡산,금정,암,봉안,것,현재,표충사,보존,그림,전체,크기,가로,세로,화폭,크기,가로,세로,인,규모,탱화,가가,제석,그,중심,자리,제석,의자,모습,손,이제,막,피어,연꽃,두,손,앞쪽,일월,관,궁,천자,월궁,천자,그,양옆,관,천인,시선,바깥,채,천인,뒤,악기,연주,동자,녀,모습,피리,비파,등,비단,바탕,위,채색,그린,것,위아래,나무,축,부분,고리,단,전통,양식"
1033,1042,"함박산에서 뻗어 내린 산줄기의 끝에 있는 고려시대 가마터이다. 이곳에는 거대한 퇴적층이 있는데, 퇴적층에서 가마의 유구와 백자, 청자, 도기 조각 등과 작업에 관계되는 건물터도 조사되었다.  가마는 벽돌로 된 가마와 진흙으로 지은 가마가 확인되었는데, 벽돌가마는 우리나라에서 처음으로 밝혀진 것이고 진흙가마는 길이 83m의 대형가마로, 출입구가 27개나 확인되었다. 출토유물로는 그릇이 많으며, 특히 해무리굽을 가진 대접(완)이 대부분이다. 제작시기는 10세기 후반부터 12세기 전반까지로 추정한다. 거대한 퇴적층과 벽돌·진흙가마의 존재, 다양한 모양의 백자 조각 등의 발견은 고려백자의 발생과 변천과정을 연구하는데 귀중한 역할을 하며, 한국도자사 연구에도 큰 도움을 준다.",함박산의 산줄기 끌에 있는 고려 시대 가마터에는 해무리굽을 가진 대접과 그릇이 많이 출토되었다.,"백자,고려,박산,고려시대,청자,진흙","함,박산,산줄기,끝,고려시대,가마,터,곳,퇴적,층,퇴적,층,가마,유구,백자,청자,도기,조각,등,작업,관계,건물,터,조사,가마,벽돌,가마,진흙,지은,가마,확인,벽돌,가마,우리나라,처음,것,진흙,가마,길이,의,대형,가마,출입구,개,확인,출토,유물,그릇,해무리,굽,대접,완,이,대부분,시기,세기,후반,세기,전반,추정,퇴적,층,벽돌,진흙,가마,존재,모양,백자,조각,등,발견,고려,자의,발생,변천,과정,연구,역할,한국,자사,연구,도움"
1034,1043,"이곳은 조선 예종대왕의 태(胎)를 묻은 석실이다. 왕가에서는 아이가 태어나면 그 태를 소중히 석실에 묻었는데, 이를 태실이라 한다. 원래 완주군 구이면 원덕리 태실 마을 뒷산에 있던 것을 이곳으로 옮겼다. 이 태실은 팔각형 돌 난간 안에 기단석을 놓고 그 위에 둥근 돌을 얹은 다음 지붕돌로 덮었다. 비석은 태실과 함께 옮긴 것으로, 예종대왕의 태실임을 알리는 글과 비석의 건립연대를 앞 뒷면에 각각 새겼는데, 건립연대는 선조 11년(1578)이다. 잘 보존된 거북 모양의 받침돌과 뿔 없는 용의 모습을 새긴 머리 돌이 돋보이는 비석이다. 이 태실과 비는 왕실에서 태를 처리한 방법을 잘 보여주고 있다.",완주군 원덕리 태실 마을 뒷산에서 옮겨진 조선 예종대왕의 태실은 팔각형 돌난간 안에 기단석을 놓았다.,"단석,구이면,조선,태실,덕리,종대","곳,조선,종대,태,를,실,왕가,아이,그,태,실,태실,원래,완주군,구이면,덕리,태실,마을,뒷산,것,곳,이,태실,팔각형,돌,난간,안,단석,그,위,돌,다음,지붕,돌,비석,태실,것,종대,태실,임,글,비석,건립,연대,앞,면,각각,건립,연대,선조,보존,거북,모양,받침돌,뿔,용의,모습,머리,돌이,비석,이,태실,왕실,태,처리,방법"
1035,1044,"대불정여래밀인수증요의제보살만행수능엄경은 줄여서 ‘대불정수능엄경’또는 ‘능엄경’이라 부르기도 하는데, 부처님의 말씀을 머리속으로만 이해하는데 그치지 않고 자신이 직접 경험하여 얻을 것을 주요사상으로 하고 있다. 능엄경은 전 10권으로 되어 있으며, 스님들이 수련과정에서 필수적으로 배우는 경전이다.『대불정여래밀인수증료의제보살만행수능엄경(언해) 권2, 5』는 당나라의 반자밀제(般刺密帝)가 번역하고 송나라의 계환(戒環)이 풀이를 붙인 『수능엄경요해(首楞嚴經要解)』를 언해(諺解)한 책이다. 세조(世祖)가 한글로 구결을 달고 혜각존자(慧覺尊者) 신미(信眉)가 구두(句讀)를 달았으며, 한계희(韓繼禧)·김수온(金守溫) 등이 번역하였다. 본서는 1461년(세조 7)에 교서관에서 을해자(乙亥字)로 간행한 금속활자본으로, 전체 10권 중에서 제2권과 제5권 등 2책만 남아 있는 영본(零本)이다.",능엄경은 스님들이 수련과정에서 필수적으로 배우는 경전으로 부처님의 말씀을 머리로 이해하는 것뿐만 아니라 자신이 직접 경험하여 얻는 것을 주요 사상으로 한다.,"대불정수능엄경,능엄경,활자본,수능엄경,세조","대불,정,여래,밀,수증,의제,보살,만행,수능엄경,줄,대불정수능엄경,능엄경,기도,부처님,말씀,머리,속,이해,자신,직접,경험,것,사상,능엄경,전,권,스님,수련,과정,필수,경전,대불,정,여래,밀,수증,료,의제,보살,만행,수능엄경,언해,권,당나라,자밀제,번역,송나라,계환,이,풀이,수능엄경,해,를,언해,책,세조,한글,구결,달,혜,존,신미,구두,를,한계희,김수온,등,번역,세조,교서관,을해,로,간행,금속,활자본,전체,권,중,제,권,제,권,등,책,남아"
1036,1045,"‘김정희 필 대팽고회’는 김정희(金正喜, 1786～1856)가 세상을 뜬 해인 1856년(철종 7)에 쓴 만년작(晩年作)으로, 행농(杏農)이라는 호를 쓴 인물에게 써 준 작품이다. 두 폭으로 구성된 분당지(粉唐紙) 위에 예서(?書)로 쓴 대련(對聯) 형식이다. 글씨의 내용은 중국 명나라 문인 오종잠(吳宗潛)의 「중추가연(中秋家宴)」이란 시에서 연유한 것으로, “푸짐하게 차린 음식은 두부ㆍ오이ㆍ생강ㆍ나물이고, 성대한 연회는 부부ㆍ아들딸ㆍ손자이네(大烹豆腐瓜薑菜」高會夫妻兒女孫)”라는 글귀를 쓴 것이다. 평범한 일상생활이 가장 이상적인 경지라는 내용에 걸맞게 꾸밈이 없는 소박한 필법으로 붓을 자유자재로 운용해 노(老) 서예가의 인생관(人生觀)과 예술관(藝術觀)이 응축되어 있는 만년의 대표작이다. 김정희의 인생에 대한 태도와 성숙한 필법을 잘 보여주는 작품으로 한국서예사에 차지하는 위상이 높은 작품이다.",김정희 필 대팽고회는 김정희의 만년작으로 소박하고 꾸밈없는 필법으로 노 서예가의 예술관과 인생관이 응축되어 있는 작품이다.,"예서,운용,명나라,중국,해인,철종","김정희,필,팽,회,김정희,세상,해인,철종,만년,작,행농,호,인물,준,작품,두,폭,구성,분당,위,예서,로,대련,형식,글씨,내용,중국,명나라,문인,종잠,의,중추,가연,이란,시,연유,것,음식,두부,오이,생강,나물,성대,연회,부부,아들,딸,손자,글귀,것,일상생활,가장,이상,경지,내용,걸,꾸밈,필법,붓,자유,자재,운용,노,서예가,인생관,과,예술,관,이,응축,만년,대표,작,김정희,인생,대한,태도,필법,작품,한국,예사,차지,위상,작품"
1037,1046,"묘법연화경은 줄여서 ‘법화경’이라고 부르기도 하며, 부처가 되는 길이 누구에게나 열려있다는 것을 중심사상으로 하고 있다. 천태종의 근본경전으로 화엄경와 함께 한국 불교사상 확립에 중요한 영향을 끼친 경전이다. 이 책은 닥종이에 찍은 목판본으로 크기는 세로 32.5㎝, 가로 23㎝이며, 2책으로 만든 권7의 내용 중 뒷부분에 해당한다. 세조 때 불경을 한글로 풀어 쓰는 작업을 위해 설치한 간경도감(刊經都監)에서 간행한 것이다. 본문과 계환(戒環)이 해석을 달아 놓은 부분은 한글로 풀어쓰고 있으며, 책 끝에는 만들게 된 경위를 적은 김수온(1333∼1382)의 글이 있다.  세조 9년(1463)에 간경도감에서 목판에 새긴 것을, 성종 3년(1472)년에 인수대비가 세조·예종· 의경왕·인성대군의 명복을 빌기 위한 목적에서 찍어낸 것이다. 당시 인수대비가 찍어낸 29종의 불경 중 묘법연화경이 간경도감에서 간행되었다는 사실을 알려주는 귀중한 자료이다.","이 책은 세조 9년에 간경도감에서 목판에 새긴 것을 인수대비가 성종 3년에 세조, 예종 등의 명복을 빌기 위해 찍어낸 것이라는 사실을 알려주는 가치 있는 자료다.","묘법연화경,화엄경,인성대군,법화경,간경도감,천태종,목판본","묘법연화경,줄,법화경,기도,부처,길이,누구,것,중심,사상,천태종,경전,화엄경,한국,불교사상,확립,영향,경전,이,책,닥종이,목판본,크기,세로,가로,책,권,의,내용,중,부분,해당,세조,때,불경,한글,작업,위해,설치,간경도감,간행,것,본문,계환,이,해석,달,부분,한글,책,끝,경위,김수온,의,글,세조,간경도감,목판,것,성종,년,인수대비,세조,예종,의경왕,인성대군,명복,위,목적,것,당시,인수대비,종,불경,중,묘법연화경,간경도감,간행,사실,자료"
1038,1047,"강원도 영월군 문곡리 연덕천가 절벽에 있는 건열구조 및 스트로마톨라이트는 약 4∼5억년 전에 생긴 오르도비스기 하부고생대 지층에 형성되어 있다.  건열구조는 얕은 물 밑에 쌓인 퇴적물이 물 위로 나와 마를 때, 퇴적물이 줄거나 오그라들면서 생긴 틈이 그대로 굳어져 형성된 지질구조이며, 이는 이 지역이 과거에 물 밑에 있었다는 것을 알려주는 귀중한 학술자료가 된다.  스트로마톨라이트(stromatolite)는 지구상에 출현한 최초의 생물 가운데 하나인 단세포 원시 미생물 위에 작은 퇴적물 알갱이가 겹겹이 쌓여 형성된 퇴적구조로 우리나라에서는 아주 드물게 발견되는 희귀한 지질자료이다.  영월 문곡리의 건열구조 및 스트로마톨라이트는 당시의 퇴적환경을 잘 보여주고 있어 학술적 보존가치가 매우 크다.",영월 문곡리의 건열 구조는 약 4~5억 년 전에 생긴 하부 고생대 층에 형성되어 있으며 이 지역이 과거 물 밑에 있었다는 것을 알려주며 당시의 퇴적환경을 잘 보여주고 있다.,"영월,스트로마톨라이트,덕천,영월군,오르도비스기","강원도,영월군,문곡리,덕천,절벽,건,구조,및,스트로마톨라이트,약,전,오르도비스기,하부,고생대,지층,형성,건,구조,물,밑,퇴적물,물,위로,때,퇴적물,틈,그대로,형성,지질,구조,이,지역,과거,물,밑,것,학술,자료,스트로마톨라이트,지구,출현,최초,생물,가운데,하나,단세포,원시,미생물,위,퇴적물,알갱이,겹겹이,형성,퇴적,구조,우리나라,아주,발견,희귀,지질,자료,영월,문곡리,건,구조,및,스트로마톨라이트,당시,퇴적,환경,학술,보존,가치,매우"
1039,1048,"경상북도 봉화군 물야면 오전리에 있는 석불좌상으로 머리만 없어졌을 뿐 거의 완전하게 남아 있다. 당당한 어깨에 가슴은 건장하며 허리는 잘록한 모습이다. 손은 왼손은 무릎 위에 올리고 오른손 끝을 아래로 향하고 있다. 왼쪽 어깨만 걸친 얇은 옷은 몸에 밀착되어 사실감을 더해주고 있으며, 옷주름은 평행계단식으로 묘사하였다.  앉아 있는 대좌(臺座)는 상대·중대·하대로 구성되어 있는데, 상대와 하대에는 화려한 연꽃잎을 새겼다. 8각형의 중대는 각 면에 사천왕 입상을 돋을새김하였다. 신라말의 전형적인 석불상으로 부석사의 석불상들과 상당한 연관이 있을 것으로 보인다.",봉화군 물야면 석불좌상은 대좌에 화려한 연꽃잎을 새겨 놓은 구성을 지니며 신라말의 전형적인 석불상의 모습을 하고 있다.,"불상,신라,봉화군,부석사,석불좌상","경상북도,봉화군,물야면,전리,석불좌상,머리,뿐,거의,남아,어깨,가슴,허리,모습,손,왼손,무릎,위,오른손,끝,아래,향,왼쪽,어깨,옷,몸,밀착,실감,더,옷,주름,평행,계단,묘사,대좌,상대,중대,하,구성,상대,꽃잎,각형,중대,각,면,사천왕,입상,돋을새김,신라,말,전형,불상,부석사,불상,연관,것"
1040,1049,"석남사 삼층석탑은 극락전 앞에 자리하고 있으며, 그 높이는 2.5m이다. 원래 대웅전 앞에 있었으나, 1973년 현재의 위치로 옮겨 세웠다. 석탑의 하층 기단은 여러 장의 판석을 이용하여 결구하고 사방에 안상을 조각하였다. 그 상부에는 4매의 판석으로 구성하여 상층기단을 올렸다. 기단의 면석에는 2개의 우주(隅柱)와 1개의 탱주(撑柱)가 새겨져 있다. 탑신석과 옥개석은 각각 하나의 석재로 구성되어 있다. 탑신석에는 양 우주가 정연하게 새겨져 있으며, 상층으로 갈수록 정연한 체감비를 느낄 수 있다. 옥개석의 하면에는 각형 4단의 옥개받침이 있으며, 상면에는 3단의 받침을 새겨 탑신석을 받고 있다. 정상에는 노반(露盤), 앙화(仰花), 보개(寶蓋) 등을 갖추고 있으며, 노반석 이상의 부재는 후대에 보수한 것이다. 석남사 삼층석탑은 전체적인 체감비가 우수하고, 표현기법 등을 고려할 때 9세기 후기에 건립된 것으로 추정된다.",석남사 삼층석탑은 원래 대웅전 앞에 있었으나 1973년에 극락전 앞으로 옮겼고 9세기 후반에 건립된 것으로 짐작된다.,"석남사,면석,대웅전,탑신,삼층석탑,석탑","석남사,삼층석탑,극락전,앞,자리,그,원래,대웅전,앞,현재,위치,석탑,하층,기단,여러,장의,판석,이용,결구,사방,안상,조각,그,상부,매,판석,구성,상층,기단,기단,면석,개,우주,개,주,탑신,석,옥,석,각각,하나,석재,구성,탑신,석,양,우주,정연,상층,갈수록,정연,체감,비,수,옥,석,각형,단,옥,받침,상면,단,받침,탑신,석,정상,노반,화,보,등,노,반석,이상,부재,후대,보수,것,석남사,삼층석탑,전체,체감,비,기법,등,고려,때,세기,후기,건립,것,추정"
1041,1050,"한국의 대표적 서양화가로 우리나라 전통미를 현대화시키는데 주력한 수화 김환기(樹話 金煥基, 1913～1974) 화백이 태어난 곳으로 현재 안채와 화실 등으로 구성되어 있다. 김환기는 우리나라 모더니즘의 제1세대 화가로 한국의 고전적 소재를 추상적 조형언어로 양식화하여 한국미술의 새로운 전기를 마련한 인물로, 이 곳은 그의 유년기와 청년기 작품활동이 이루어졌던 공간이라는 역사적, 예술적 가치와 함께 20세기 초반 전통가옥이 근대로 들어서면서 사회의 변화에 따라 실용적으로 변용되어 가는 모습을 잘 보여주는 귀중한 자료이다. 당초에는 전남 신안 기념물 신안 김환기생가(제146호)로 지정(1992.11.30)되었으나 신청(2007. 5. 3)을 받아 국가지정문화재 중요민속자료 제251호로 지정(2007.10.12)되었다. ※ 위 문화재는 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다.",우리나라 모더니즘의 제1세대 화가인 김환기는 한국의 고전적 소재를 추상적 조형언어로 양식화했다.,"김환기,화백,변용,모더니즘","한국,대표,서양화,가로,우리나라,전통미,대화,주력,수화,김환기,화백,곳,현재,화실,등,구성,김환기,우리나라,모더니즘,제,세대,화가,한국,전적,소재,추상,형언,양식,한국,미술,전기,마련,인물,이,곳,그,유년기,청년,기,작품,활동,공간,역사,예술,가치,세기,초반,전통,가옥,근대,사회,변화,실용,변용,모습,자료,당초,전남,신안,기념물,신안,김환기,생가,제,호,로,지정,신청,국가,지정,문화재,중요,민속자료,제,호로,지정,위,문화재,일반,관람,유주,등,개인,사정,관람,제한,수도"
1042,1051,"1477년(성종 8)에 서평군 한계희(西平君 韓繼喜) 일족이 발원하여 고산 불명산 화암사(高山 佛明山 花岩寺)에서 간행한 책으로, 1443년(세종 25)에 화암사에서 개판(開板)했던 판본을 번각(飜刻)한 것이다. 4권 1책으로 오침안정법의 선장으로 장정되었으며, 표지는 후대에 개장되었다.폭포사 소장『묘법연화경』은 1477년에 간행된 오래된 판본이다. 7권 2책 중 4권1책만 남아 있지만, 전반적으로 보아 보존 상태가 꽤 좋은 편이다. 그리고 권4·5·7의 말에 있는 시주질들, 권7의 말에 있는 성달생의 발문, 연화질, 간기 등의 기록들은 서지학, 인쇄사, 불교학 등의 연구에 귀중한 자료이다.",폭포사 소장 묘법연화경은 오래 전에 간행된 판본이지만 전반적으로 보존 상태가 좋다.,"묘법연화경,세종,서평,성종,불교학,화암사","성종,서평,한계희,족,발원,고산,불명,산,화암사,간행,책,세종,화암사,개판,판본,번각,것,권,책,오침,안,정법,선장,장정,표지,후대,개장,폭포,사,소장,묘법연화경,은,간행,판본,권,책,중,권,책,남아,전반,보아,보존,상태,꽤,편이,권,의,말,질,권,의,말,성달생,발문,화질,간기,등,기록,서지학,인쇄,사,불교학,등,연구,자료"
1043,1052,"이 건물은 남원윤씨죽곡파종중 윤구섭의 10대 조부인 무진(無盡)께서 조선 영조 27년(1751)에 세운 정자로서 이 곳은 남원 윤씨의 선산이 자리한 곳이기도 하다. 무진은 자신의 재산으로 선산인 현 위치에 ‘무진정’을 세워 섬진강을 건너 남북으로 오가는 사람들이 쉬어 가도록 이 정자를 지었다고 한다. 정면 3칸, 측면 2칸의 팔작지붕 홑처마 건물로서 내부에는 9점의 현판이 걸려있다. 건물 테두리에는 원형 기둥을 썼으나 안쪽에는 사각 기둥을 세워 다채로움을 더했다. 건물 평면도 뒤편 마루를 조금 높게 깔아 앞 뒤의 공간을 나누었다. 세심한 부분적 변화와는 달리 정자의 전체적인 모습은 단정하다. 지금도 행락철이면 지나는 많은 사람이 이곳에 들러 쉬었다 간다.",섬진강을 건너는 사람들이 쉬어가도록 무진이 조선 영조 27년에 자신의 재산으로 세운 정자인 무진정은 남원 윤 씨의 선산이 있는 곳에 자리하고 있다.,"죽곡,조선,영조,평면도,남원,파종","이,건물,남원,윤씨,죽곡,파종,윤구,섭,조부,무진,조선,영조,세운,정자,로서,이,곳,남원,윤씨,선산,자리,곳,무진,자신,재산,선산,현,위치,무,진정,섬진강,건너,남북,사람,이,정자,정면,칸,측면,칸,지붕,홑,처마,건물,로서,내부,점,현판,건물,테두리,원형,기둥,안쪽,사각,기둥,채,로움,건물,평면도,뒤편,마루,조금,앞,뒤,공간,세심,부분,변화,달리,정자,전체,모습,지금,행락,철,사람,곳,간다"
1044,1053,"청평사 입구의 환희령이라는 언덕 위에 서 있는 3층 석탑이다. 일반적으로 탑은 사찰의 중심건물인 금당 앞에 세우는데 이 탑은 사찰 길목의 계곡이 내려다 보이는 곳에 홀로 서 있다. 형태는 2층 기단(基壇) 위에 3층 탑신(塔身)을 올린 모습이다. 위·아래층 기단과 탑신의 몸돌에는 기둥 모양을 새겼다. 지붕돌은 네 모서리가 들려 있어 날렵한 감을 주며 밑면에는 4단의 받침을 두었다. 아담하면서도 안정감이 드는 탑으로, 통일신라의 일반적인 석탑양식을 따르고 있으나 청평사가 고려 광종 24년(973)에 창건된 사실로 볼 때 고려 전기에 세운 것으로 추정된다. 이 탑은 뱀에 몸이 얽혀 갖은 고생을 하던 원나라 순제(順帝)의 공주가 이 절에 와서 불공을 드린 뒤 뱀을 떨쳐버리게 되자 이 소식을 들은 순제가 은혜를 보답하기 위하여 탑을 세웠다는 전설이 전해 내려와 일명 ‘공주탑’이란 애칭으로도 불리운다.",청평사의 창건 시기로 보아 고려 때 세운 것으로 추정되는 이 탑은 공주탑이라고도 불린다.,"청평사,원나라,고려,탑신,광종,주탑,석탑","청평사,입구,환희,령,언덕,위,층,석탑,일반,탑,사찰,중심,건물,금,앞,이,탑,사찰,길목,계곡,곳,홀로,형태,층,기단,위,층,탑신,모습,위,아래층,기단,탑신,몸돌,기둥,모양,지붕,네,모서리,감,밑면,단,받침,안정감,탑,통일신라,일반,석탑,양식,청평사,고려,광종,창건,사실,볼,때,고려,전기,세운,것,추정,이,탑,뱀,몸,갖은,고생,원나라,순제,의,공주,이,절,불공,뒤,뱀,이,소식,순제,은혜,보답,위,탑,전설,전해,일명,주탑,이란,애칭"
